kreis_id;kreis_name;bev_total_2024;m_u18;w_u18;m_18_34;w_18_34;m_35_59;w_35_59;m_60_74;w_60_74;m_75plus;w_75plus;bev_18_35;bev_65_plus
06434;Hochtaunuskreis;241664.0;22340.0;20692.0;20517.0;18404.0;40828.0;43509.0;21132.0;23562.0;12399.0;18281.0;38921.0;56671.0
06435;Main-Kinzig-Kreis;420914.0;37582.0;35605.0;40758.0;36527.0;71009.0;71840.0;39232.0;42347.0;19442.0;26572.0;77285.0;94991.0
06436;Main-Taunus-Kreis;238775.0;22153.0;20979.0;21744.0;19340.0;41773.0;43108.0;20277.0;22132.0;11333.0;15936.0;41084.0;51875.0
06437;Odenwaldkreis;93846.0;7843.0;7371.0;8295.0;7388.0;15228.0;15485.0;10147.0;10745.0;4801.0;6543.0;15683.0;24158.0
06438;Offenbach, Landkreis;358022.0;32844.0;30783.0;34847.0;32364.0;60983.0;61715.0;30959.0;33717.0;16647.0;23163.0;67211.0;78384.0
06439;Rheingau-Taunus-Kreis;185651.0;15790.0;14704.0;16327.0;14612.0;30744.0;32279.0;18387.0;20073.0;9642.0;13093.0;30939.0;45717.0
06440;Wetteraukreis;311593.0;27438.0;26085.0;29795.0;26020.0;52887.0;54459.0;29505.0;31360.0;14313.0;19731.0;55815.0;70282.0
06531;Gieï¿½en, Landkreis;268418.0;22309.0;21599.0;33229.0;32921.0;41850.0;40985.0;23668.0;25663.0;10971.0;15223.0;66150.0;55971.0
06532;Lahn-Dill-Kreis;254074.0;22579.0;21000.0;24644.0;21607.0;41765.0;42439.0;25032.0;26981.0;11428.0;16599.0;46251.0;59223.0
06533;Limburg-Weilburg, Landkreis;173830.0;14775.0;14503.0;17000.0;14831.0;28892.0;28908.0;17683.0;18552.0;7777.0;10909.0;31831.0;40352.0
06534;Marburg-Biedenkopf, Landkreis;242805.0;20123.0;19233.0;28370.0;28234.0;38287.0;38302.0;22410.0;23798.0;9806.0;14242.0;56604.0;51600.0
06535;Vogelsbergkreis;101163.0;8164.0;7828.0;8703.0;7522.0;16473.0;16255.0;11789.0;12250.0;5121.0;7058.0;16225.0;27113.0
06611;Kassel, kreisfreie Stadt;197230.0;16317.0;16202.0;24703.0;24365.0;31148.0;30909.0;15808.0;17640.0;7957.0;12181.0;49068.0;40235.0
06631;Fulda, Landkreis;222283.0;19487.0;18523.0;23496.0;20960.0;36338.0;35729.0;21269.0;22246.0;10017.0;14218.0;44456.0;50347.0
06632;Hersfeld-Rotenburg, Landkreis;117414.0;10150.0;9339.0;10519.0;9282.0;19257.0;18883.0;12335.0;13111.0;6109.0;8429.0;19801.0;30172.0
06633;Kassel, Landkreis;231073.0;19510.0;18281.0;19779.0;18042.0;37618.0;38443.0;23665.0;25731.0;12684.0;17320.0;37821.0;60200.0
06634;Schwalm-Eder-Kreis;180071.0;14906.0;14303.0;16846.0;14282.0;30199.0;29629.0;19129.0;19759.0;8943.0;12075.0;31128.0;44523.0
06635;Waldeck-Frankenberg, Landkreis;155126.0;13207.0;12388.0;14869.0;12759.0;25076.0;25193.0;16513.0;17273.0;7378.0;10470.0;27628.0;38168.0
06636;Werra-Meiï¿½ner-Kreis;97695.0;7830.0;7166.0;8962.0;7523.0;15552.0;15754.0;10793.0;11493.0;5247.0;7375.0;16485.0;26267.0
07111;Koblenz, kreisfreie Stadt;113378.0;8898.0;8244.0;14923.0;13409.0;18032.0;17181.0;9335.0;10504.0;4962.0;7890.0;28332.0;25011.0
07131;Ahrweiler, Landkreis;129353.0;10453.0;10136.0;11707.0;10677.0;20965.0;20752.0;13911.0;14243.0;6819.0;9690.0;22384.0;33561.0
07132;Altenkirchen (Westerwald), Landkreis;132125.0;11851.0;11286.0;12499.0;11030.0;21817.0;21372.0;13691.0;14407.0;5705.0;8467.0;23529.0;31132.0
07133;Bad Kreuznach, Landkreis;164748.0;14281.0;13357.0;14947.0;13480.0;26755.0;27349.0;16996.0;18726.0;7866.0;10991.0;28427.0;40675.0
07134;Birkenfeld, Landkreis;82611.0;6884.0;6502.0;7960.0;6953.0;12899.0;13097.0;9097.0;9707.0;3938.0;5574.0;14913.0;21195.0
07135;Cochem-Zell, Landkreis;61608.0;4992.0;4574.0;5817.0;4759.0;9902.0;10005.0;6997.0;7169.0;3106.0;4287.0;10576.0;15980.0
07137;Mayen-Koblenz, Landkreis;217228.0;18824.0;17894.0;20681.0;18567.0;35911.0;36310.0;22226.0;23531.0;9762.0;13522.0;39248.0;51145.0
07138;Neuwied, Landkreis;189061.0;17077.0;16106.0;17857.0;16305.0;30617.0;30631.0;19311.0;20262.0;8632.0;12263.0;34162.0;44685.0
07140;Rhein-Hunsrï¿½ck-Kreis;106705.0;9220.0;8619.0;9742.0;8646.0;17686.0;17583.0;11544.0;12093.0;4891.0;6681.0;18388.0;25920.0
07141;Rhein-Lahn-Kreis;125588.0;10780.0;10143.0;11226.0;10016.0;21099.0;20698.0;13218.0;14036.0;5969.0;8403.0;21242.0;30961.0
07143;Westerwaldkreis;207803.0;18388.0;17386.0;18897.0;17509.0;35341.0;35162.0;21486.0;22111.0;9012.0;12511.0;36406.0;47353.0
07211;Trier, kreisfreie Stadt;104342.0;8042.0;7703.0;14351.0;13729.0;16786.0;16392.0;8307.0;9414.0;3677.0;5941.0;28080.0;20435.0
07231;Bernkastel-Wittlich, Landkreis;113187.0;9521.0;8996.0;10444.0;9163.0;18951.0;18550.0;12425.0;12636.0;5235.0;7266.0;19607.0;27798.0
07232;Eifelkreis Bitburg-Prï¿½m;99788.0;9298.0;8200.0;9690.0;8508.0;16595.0;16920.0;10451.0;10546.0;4161.0;5419.0;18198.0;22042.0
